"Region","School District","Year","Gender","Total"
33,"Chilliwack",2005,"T",77165
34,"Abbotsford",2005,"T",129297
35,"Langley",2005,"T",120308
36,"Surrey",2005,"T",423719
37,"Delta",2005,"T",100928
38,"Richmond",2005,"T",181087
39,"Vancouver",2005,"T",604207
40,"New Westminster",2005,"T",59817
41,"Burnaby",2005,"T",208482
42,"Maple Ridge-Pitt Meadows",2005,"T",86362
43,"Coquitlam",2005,"T",205009
44,"North Vancouver",2005,"T",132821
45,"West Vancouver",2005,"T",50907
46,"Sunshine Coast",2005,"T",27349
47,"Powell River",2005,"T",19198
48,"Sea to Sky",2005,"T",31550
49,"Central Coast",2005,"T",3637
50,"Haida Qwaii/Queen Charlotte",2005,"T",4766
51,"Boundary",2005,"T",12207
52,"Prince Rupert",2005,"T",15370
53,"Okanagan Similkameen",2005,"T",23480
54,"Bulkley Valley",2005,"T",15214
57,"Prince George",2005,"T",95066
58,"Nicola - Similkameen",2005,"T",16155
59,"Peace River South",2005,"T",25885
60,"Peace River North",2005,"T",32872
61,"Greater Victoria",2005,"T",216011
62,"Sooke",2005,"T",59574
63,"Saanich",2005,"T",62135
64,"Gulf Islands",2005,"T",14610
67,"Okanagan Skaha",2005,"T",50496
68,"Nanaimo-Ladysmith",2005,"T",107677
69,"Qualicum",2005,"T",41883
70,"Alberni",2005,"T",30844
71,"Comox Valley",2005,"T",59199
72,"Campbell River",2005,"T",39576
73,"Kamloops/Thompson",2005,"T",105372
74,"Gold Trail",2005,"T",11506
75,"Mission",2005,"T",39712
78,"Fraser - Cascade",2005,"T",16741
79,"Cowichan Valley",2005,"T",66006
81,"Fort Nelson",2005,"T",6300
82,"Coast Mountains",2005,"T",37200
83,"Okanagan - Shuswap",2005,"T",51032
84,"Vancouver Island West",2005,"T",2510
85,"Vancouver Island North",2005,"T",12293
87,"Stikine",2005,"T",2212
91,"Nechako Lakes",2005,"T",23748
92,"Nisga'a",2005,"T",1969
5,"Southeast Kootenay",2006,"T",38816
6,"Rocky Mountain",2006,"T",24252
8,"Kootenay Lake",2006,"T",39240
10,"Arrow Lakes",2006,"T",4633
19,"Revelstoke",2006,"T",7906
20,"Kootenay-Columbia",2006,"T",31335
22,"Vernon",2006,"T",62177
23,"Central Okanagan",2006,"T",167231
27,"Cariboo - Chilcotin",2006,"T",40706
28,"Quesnel",2006,"T",22809
33,"Chilliwack",2006,"T",79249
34,"Abbotsford",2006,"T",129982
35,"Langley",2006,"T",122153
36,"Surrey",2006,"T",431243
37,"Delta",2006,"T",100724
38,"Richmond",2006,"T",182638
39,"Vancouver",2006,"T",612456
40,"New Westminster",2006,"T",60496
41,"Burnaby",2006,"T",210503
42,"Maple Ridge-Pitt Meadows",2006,"T",88012
43,"Coquitlam",2006,"T",205573
44,"North Vancouver",2006,"T",133681
45,"West Vancouver",2006,"T",51137
46,"Sunshine Coast",2006,"T",27921
47,"Powell River",2006,"T",19333
48,"Sea to Sky",2006,"T",32337
49,"Central Coast",2006,"T",3502
50,"Haida Qwaii/Queen Charlotte",2006,"T",4848
51,"Boundary",2006,"T",12156
52,"Prince Rupert",2006,"T",15070
53,"Okanagan Similkameen",2006,"T",23572
54,"Bulkley Valley",2006,"T",15090
57,"Prince George",2006,"T",94304
58,"Nicola - Similkameen",2006,"T",16193
59,"Peace River South",2006,"T",26175
60,"Peace River North",2006,"T",33276
61,"Greater Victoria",2006,"T",217691
62,"Sooke",2006,"T",60943
63,"Saanich",2006,"T",61956
64,"Gulf Islands",2006,"T",14848
